"p","label"
"http://orkg.org/orkg/predicate/P15004","Quick summary"
"http://orkg.org/orkg/predicate/P15005","Features used and feature selection"
"http://orkg.org/orkg/predicate/P15006","Machine learning algorithms"
"http://orkg.org/orkg/predicate/P15007","Conducted by"
"http://orkg.org/orkg/predicate/P15008","Criteria defined by"
"http://orkg.org/orkg/predicate/P15009","Intended audience"
"http://orkg.org/orkg/predicate/P15010","Intended use"
"http://orkg.org/orkg/predicate/P15011","Interview, Survey or Brainstorming"
"http://orkg.org/orkg/predicate/P15012","Tested various designs"
"http://orkg.org/orkg/predicate/P15013","Implemented into car mock-up"
"http://orkg.org/orkg/predicate/P15014","Used prototypes for early feedback"
"http://orkg.org/orkg/predicate/P15015","Tested usability or user eTperience"
"http://orkg.org/orkg/predicate/P15016","Tested driving performance"
"http://orkg.org/orkg/predicate/P15017","Implemented as display mock-up"
"http://orkg.org/orkg/predicate/P15018","Implemented into real vehicle"
"http://orkg.org/orkg/predicate/P15019","Feature
Extraction"
"http://orkg.org/orkg/predicate/P15020","Offline
Database"
"http://orkg.org/orkg/predicate/P15021","Classifier"
"http://orkg.org/orkg/predicate/P15022","Algorithm name"
"http://orkg.org/orkg/predicate/P15023","Advantages"
"http://orkg.org/orkg/predicate/P15024","Disadvantages"
"http://orkg.org/orkg/predicate/P15025","Lexicon"
"http://orkg.org/orkg/predicate/P15026","Lemmas"
"http://orkg.org/orkg/predicate/P15027","# Entries"
"http://orkg.org/orkg/predicate/P15028","Labels"
"http://orkg.org/orkg/predicate/P15029","Tested for SA"
"http://orkg.org/orkg/predicate/P15030","POS Tags"
"http://orkg.org/orkg/predicate/P15031","MSA"
"http://orkg.org/orkg/predicate/P15032","Dialect"
"http://orkg.org/orkg/predicate/P15033","Emoticons"
"http://orkg.org/orkg/predicate/P15034","Availability"
"http://orkg.org/orkg/predicate/P15035","Ontologies"
"http://orkg.org/orkg/predicate/P15036","Inputs/Outputs"
"http://orkg.org/orkg/predicate/P15037","Pre/Post-conditions"
"http://orkg.org/orkg/predicate/P15038","Protocols"
"http://orkg.org/orkg/predicate/P15039","QoS"
"http://orkg.org/orkg/predicate/P15040","Specification Languages"
"http://orkg.org/orkg/predicate/P15041","Matching Result Degrees"
"http://orkg.org/orkg/predicate/P15042","Incomplete Knowledge"
"http://orkg.org/orkg/predicate/P15043","Variational Scope"
"http://orkg.org/orkg/predicate/P15044","Heuristics & Simplif."
"http://orkg.org/orkg/predicate/P15045","Calculation Concepts"
"http://orkg.org/orkg/predicate/P15046","Nature of Traceability"
"http://orkg.org/orkg/predicate/P15047","Automation"
"http://orkg.org/orkg/predicate/P15048","Tool-Support"
"http://orkg.org/orkg/predicate/P15049","Year of
Development"
"http://orkg.org/orkg/predicate/P15050","Area of use"
"http://orkg.org/orkg/predicate/P15051","Objective"
"http://orkg.org/orkg/predicate/P15052","Accuracy/Results"
"http://orkg.org/orkg/predicate/P15053","Future work/challenges"
"http://orkg.org/orkg/predicate/P15054","Artefacts"
"http://orkg.org/orkg/predicate/P15055","Mechanisms providing feedback"
"http://orkg.org/orkg/predicate/P15056","Information sources"
"http://orkg.org/orkg/predicate/P15057","Benefits"
"http://orkg.org/orkg/predicate/P15058","Types of feedback"
"http://orkg.org/orkg/predicate/P15059","Category"
"http://orkg.org/orkg/predicate/P15060","Highlights"
"http://orkg.org/orkg/predicate/P15061","Technology Bases"
"http://orkg.org/orkg/predicate/P15062","Game Genres"
"http://orkg.org/orkg/predicate/P15063","Major Contributions"
"http://orkg.org/orkg/predicate/P15064","esearch
Method"
"http://orkg.org/orkg/predicate/P15065","Agile
Method"
"http://orkg.org/orkg/predicate/P15066","Focus"
"http://orkg.org/orkg/predicate/P15067","Publication type"
"http://orkg.org/orkg/predicate/P15068","Research Method"
"http://orkg.org/orkg/predicate/P15069","# of Subjects"
"http://orkg.org/orkg/predicate/P15070","Studied Picking System"
"http://orkg.org/orkg/predicate/P15071","System"
"http://orkg.org/orkg/predicate/P15072","Year"
"http://orkg.org/orkg/predicate/P15073","Vis. Types"
"http://orkg.org/orkg/predicate/P15074","Recomm."
"http://orkg.org/orkg/predicate/P15075","Incr."
"http://orkg.org/orkg/predicate/P15076","App. Type"
"http://orkg.org/orkg/predicate/P15077","File Size"
"http://orkg.org/orkg/predicate/P15078","Avg. size of transactions"
"http://orkg.org/orkg/predicate/P15079","Avg. size of itemsets"
"http://orkg.org/orkg/predicate/P15080","Threshold"
"http://orkg.org/orkg/predicate/P15081","Time(sec)"
"http://orkg.org/orkg/predicate/P15082","Memory Usage"
"http://orkg.org/orkg/predicate/P15083","catalysts"
"http://orkg.org/orkg/predicate/P15084","feedgas composition"
"http://orkg.org/orkg/predicate/P15085","T (°C)"
"http://orkg.org/orkg/predicate/P15086","P (MPa)"
"http://orkg.org/orkg/predicate/P15087","conv (%)"
"http://orkg.org/orkg/predicate/P15088","selectivity (%)"
"http://orkg.org/orkg/predicate/P15089","SV (ml·g −1·h−1cat)"
"http://orkg.org/orkg/predicate/P15090","substrate"
"http://orkg.org/orkg/predicate/P15091","catalyst"
"http://orkg.org/orkg/predicate/P15092","Analyte"
"http://orkg.org/orkg/predicate/P15093","Application"
"http://orkg.org/orkg/predicate/P15094","Sensitivitya"
"http://orkg.org/orkg/predicate/P15095","Detection limit"
"http://orkg.org/orkg/predicate/P15096","Experimental Dataset"
"http://orkg.org/orkg/predicate/P15097","Groundtruth Speci cation"
"http://orkg.org/orkg/predicate/P15098","Performance Results"
"http://orkg.org/orkg/predicate/P15099","Error Analysis"
"http://orkg.org/orkg/predicate/P15100","Comparative Evaluation"
"http://orkg.org/orkg/predicate/P15101","Key Idea"
"http://orkg.org/orkg/predicate/P15102","Physical Layout Representation"
"http://orkg.org/orkg/predicate/P15103","Logical Structure Representation"
"http://orkg.org/orkg/predicate/P15104","Output Representation"
"http://orkg.org/orkg/predicate/P15105","Logical Labels"
"http://orkg.org/orkg/predicate/P15106","Application Domain"
"http://orkg.org/orkg/predicate/P15107","Material linearity - Adhesive - Linear"
"http://orkg.org/orkg/predicate/P15108","Material linearity - Adhesive - Nonlinear"
"http://orkg.org/orkg/predicate/P15109","Material linearity - Adherend - Linear"
"http://orkg.org/orkg/predicate/P15110","Material linearity - Adherend - nonlinear"
"http://orkg.org/orkg/predicate/P15111","Adherends - Isotropic"
"http://orkg.org/orkg/predicate/P15112","Adherends - Composite"
"http://orkg.org/orkg/predicate/P15113","Adherends - Similar"
"http://orkg.org/orkg/predicate/P15114","Adherends - Dissimilar - Thickness"
"http://orkg.org/orkg/predicate/P15115","Adherends - Dissimilar -Material"
"http://orkg.org/orkg/predicate/P15116","Adhesive stresses - sx"
"http://orkg.org/orkg/predicate/P15117","Adhesive stresses - sy"
"http://orkg.org/orkg/predicate/P15118","Adhesive stresses - txy"
"http://orkg.org/orkg/predicate/P15119","Solution - Closed-form"
"http://orkg.org/orkg/predicate/P15120","Solution - Numerical"
"http://orkg.org/orkg/predicate/P15121","Place of experiment"
"http://orkg.org/orkg/predicate/P15122","Population"
"http://orkg.org/orkg/predicate/P15123","Procedure"
"http://orkg.org/orkg/predicate/P15124","Data analysis"
"http://orkg.org/orkg/predicate/P15125","Concluding remarks"
"http://orkg.org/orkg/predicate/P15126","Comments"
"http://orkg.org/orkg/predicate/P15127","Governmnt regulation"
"http://orkg.org/orkg/predicate/P15128","Illegal activities"
"http://orkg.org/orkg/predicate/P15129","National statistics (GNP)"
"http://orkg.org/orkg/predicate/P15130","Labor market or status of labor (unregul., no soc. benef., work condit., etc.)"
"http://orkg.org/orkg/predicate/P15131","Tax evas. or unreport. income"
"http://orkg.org/orkg/predicate/P15132","Activity’s size (small scale of operat.)"
"http://orkg.org/orkg/predicate/P15133","Professional status (self-empl. Or family-based)"
"http://orkg.org/orkg/predicate/P15134","Activity’s regulation or registration"
"http://orkg.org/orkg/predicate/P15135","Networks"
"http://orkg.org/orkg/predicate/P15136","Autonomy and flexibility"
"http://orkg.org/orkg/predicate/P15137","Survival"
"http://orkg.org/orkg/predicate/P15138","Political (legal aspects) Governmnt regulation"
"http://orkg.org/orkg/predicate/P15139","Criteria Economic Activity’s size (small scale of operat.)"
"http://orkg.org/orkg/predicate/P15140","Social Autonomy and flexibility"
"http://orkg.org/orkg/predicate/P15141","Demand"
"http://orkg.org/orkg/predicate/P15142","Topology"
"http://orkg.org/orkg/predicate/P15143","outing"
"http://orkg.org/orkg/predicate/P15144","Inventory"
"http://orkg.org/orkg/predicate/P15145","Fleet composition"
"http://orkg.org/orkg/predicate/P15146","Fleet size"
"http://orkg.org/orkg/predicate/P15147","Inventory fleet"
"http://orkg.org/orkg/predicate/P15148","Composition"
"http://orkg.org/orkg/predicate/P15149","Products"
"http://orkg.org/orkg/predicate/P15150","Routing aspects"
"http://orkg.org/orkg/predicate/P15151","Inventory management aspects"
"http://orkg.org/orkg/predicate/P15152","Sources"
"http://orkg.org/orkg/predicate/P15153","Chitosanase family"
"http://orkg.org/orkg/predicate/P15154","Applications"
"http://orkg.org/orkg/predicate/P15155","Protocol"
"http://orkg.org/orkg/predicate/P15156","Innovation"
"http://orkg.org/orkg/predicate/P15157","Cluster count"
"http://orkg.org/orkg/predicate/P15158","Inter-cluster topology"
"http://orkg.org/orkg/predicate/P15159","CH election"
"http://orkg.org/orkg/predicate/P15160","Mobility"
"http://orkg.org/orkg/predicate/P15161","Location awareness"
"http://orkg.org/orkg/predicate/P15162","Load balancing"
"http://orkg.org/orkg/predicate/P15163","Node type"
"http://orkg.org/orkg/predicate/P15164","Nature"
"http://orkg.org/orkg/predicate/P15165","Cluster Properties Cluster size"
"http://orkg.org/orkg/predicate/P15166","Intra com."
"http://orkg.org/orkg/predicate/P15167","Inter com."
"http://orkg.org/orkg/predicate/P15168","CH Properties Mobility"
"http://orkg.org/orkg/predicate/P15169","ole"
"http://orkg.org/orkg/predicate/P15170","Objectives"
"http://orkg.org/orkg/predicate/P15171","Clustering Process CH Election"
"http://orkg.org/orkg/predicate/P15172","Alg. Complexity"
"http://orkg.org/orkg/predicate/P15173","Dynamism"
"http://orkg.org/orkg/predicate/P15174","CH Properties Mobility Node type"
"http://orkg.org/orkg/predicate/P15175","Column"
"http://orkg.org/orkg/predicate/P15176","Industry"
"http://orkg.org/orkg/predicate/P15177","Technical infrastructure"
"http://orkg.org/orkg/predicate/P15178","System integration"
"http://orkg.org/orkg/predicate/P15179","Data processing"
"http://orkg.org/orkg/predicate/P15180","Activation method"
"http://orkg.org/orkg/predicate/P15181","Group that reacts (with
activated matrix)"
"http://orkg.org/orkg/predicate/P15182","Polymer"
"http://orkg.org/orkg/predicate/P15183","Group
hat reacts"
"http://orkg.org/orkg/predicate/P15184","eagent"
"http://orkg.org/orkg/predicate/P15185","Activated group
produced"
"http://orkg.org/orkg/predicate/P15186","Group that reacts
(with activated
matrix)"
"http://orkg.org/orkg/predicate/P15187","Sample Period"
"http://orkg.org/orkg/predicate/P15188","Nominal or real exchange rate used"
"http://orkg.org/orkg/predicate/P15189","Countries and Estimation technique used"
"http://orkg.org/orkg/predicate/P15190","Main Result"
"http://orkg.org/orkg/predicate/P15191","Name"
"http://orkg.org/orkg/predicate/P15192","System model"
"http://orkg.org/orkg/predicate/P15193","Control model"
"http://orkg.org/orkg/predicate/P15194","Fault tolerance"
"http://orkg.org/orkg/predicate/P15195","Simulator"
"http://orkg.org/orkg/predicate/P15196","Linux"
"http://orkg.org/orkg/predicate/P15197","Windows"
"http://orkg.org/orkg/predicate/P15198","Standards and technologies used"
"http://orkg.org/orkg/predicate/P15199","Open source"
"http://orkg.org/orkg/predicate/P15200","Behavior coordination"
"http://orkg.org/orkg/predicate/P15201","Real time"
"http://orkg.org/orkg/predicate/P15202","Distributed environment"
"http://orkg.org/orkg/predicate/P15203","Dynamic wiring"
"http://orkg.org/orkg/predicate/P15204","Security"
"http://orkg.org/orkg/predicate/P15205","Elements"
"http://orkg.org/orkg/predicate/P15206","Authors"
"http://orkg.org/orkg/predicate/P15207","Date"
"http://orkg.org/orkg/predicate/P15208","Steel Grade"
"http://orkg.org/orkg/predicate/P15209","Special Notes"
"http://orkg.org/orkg/predicate/P15210","Configuration of system"
"http://orkg.org/orkg/predicate/P15211","Control approach"
"http://orkg.org/orkg/predicate/P15212","Operating conditions"
"http://orkg.org/orkg/predicate/P15213","Undershoot [pu] 1 Δf1"
"http://orkg.org/orkg/predicate/P15214","Undershoot [pu] 2 Δf2"
"http://orkg.org/orkg/predicate/P15215","Column2 ΔPtie"
"http://orkg.org/orkg/predicate/P15216","Settling time (s) 1 Δf1"
"http://orkg.org/orkg/predicate/P15217","Settling time (s) 2 Δf2"
"http://orkg.org/orkg/predicate/P15218","Column3 ΔPtie"
"http://orkg.org/orkg/predicate/P15219","Controller design"
"http://orkg.org/orkg/predicate/P15220","Control structure"
"http://orkg.org/orkg/predicate/P15221","│ACE1│ Avg [pu]"
"http://orkg.org/orkg/predicate/P15222","│ACE2│ Avg [pu]"
"http://orkg.org/orkg/predicate/P15223","│ACE3│ Avg [pu]"
"http://orkg.org/orkg/predicate/P15224","Undershoot [pu] Δf"
"http://orkg.org/orkg/predicate/P15225","Δf2"
"http://orkg.org/orkg/predicate/P15226","Δf3"
"http://orkg.org/orkg/predicate/P15227","Undershoot [pu] 3 ΔPtie"
"http://orkg.org/orkg/predicate/P15228","Settling time (s) 3 ΔPtie"
"http://orkg.org/orkg/predicate/P15229","Correlation"
"http://orkg.org/orkg/predicate/P15230","Performance indicator (in per-capita terms if not otherwise indicated)"
"http://orkg.org/orkg/predicate/P15231","Aggregation level"
"http://orkg.org/orkg/predicate/P15232","Time perspective (CS = cross-section, L = longitudinal)"
"http://orkg.org/orkg/predicate/P15233","Age indicators"
"http://orkg.org/orkg/predicate/P15234","Age–performance patternc,d OLS / ordinary least square regression"
"http://orkg.org/orkg/predicate/P15235","FE / controlled for omitted variables by inclusion of fixed effects"
"http://orkg.org/orkg/predicate/P15236","IV / instrumental variable approach"
"http://orkg.org/orkg/predicate/P15237","Countries"
"http://orkg.org/orkg/predicate/P15238","Period"
"http://orkg.org/orkg/predicate/P15239","Methodology"
"http://orkg.org/orkg/predicate/P15240","Conclusion (s) EC-Y (from energy consumption to economic growth )"
"http://orkg.org/orkg/predicate/P15241","Y-EC (from ecnomic grwth to energy consumption )"
"http://orkg.org/orkg/predicate/P15242","Y2EC (feedback hypothesis )"
"http://orkg.org/orkg/predicate/P15243","YaEC neutral hypothesis between energy consumption and economic growth )"
"http://orkg.org/orkg/predicate/P15244","Conclusion (s) ELC-Y (electricty consumption to economic growth )"
"http://orkg.org/orkg/predicate/P15245","Y-ELC (from ecnomic grwth to electricty consumption )"
"http://orkg.org/orkg/predicate/P15246","Y2E (feedback hypothesis )"
"http://orkg.org/orkg/predicate/P15247","YaELC (neutral hypothesis between electricty consumption and economic growth)"
"http://orkg.org/orkg/predicate/P15248","No."
"http://orkg.org/orkg/predicate/P15249","Country"
"http://orkg.org/orkg/predicate/P15250","Conclusion (s) NE-Y(nuclear energy consumption to economic growth )"
"http://orkg.org/orkg/predicate/P15251","Y-NE (from ecnomic grwth to nuclear energy consumption )"
"http://orkg.org/orkg/predicate/P15252","Y2NE (feedback hypothesis )"
"http://orkg.org/orkg/predicate/P15253","YaNE (neutral hypothesis between nuclear energy consumption and economic growth 
)"
"http://orkg.org/orkg/predicate/P15254","Conclusion (s) NE-Y (from nuclear energy consumption to economic growth)"
"http://orkg.org/orkg/predicate/P15255","Educational context"
"http://orkg.org/orkg/predicate/P15256","Evaluator"
"http://orkg.org/orkg/predicate/P15257","Result"
"http://orkg.org/orkg/predicate/P15258","Topic"
"http://orkg.org/orkg/predicate/P15259","Taxonomy stage: Step"
"http://orkg.org/orkg/predicate/P15260","Computational platform"
"http://orkg.org/orkg/predicate/P15261","Age (years)"
"http://orkg.org/orkg/predicate/P15262","Sex"
"http://orkg.org/orkg/predicate/P15263","Chief Clinical presentation"
"http://orkg.org/orkg/predicate/P15264","Size (mm)"
"http://orkg.org/orkg/predicate/P15265","Follow up (months)"
"http://orkg.org/orkg/predicate/P15266","Container flow"
"http://orkg.org/orkg/predicate/P15267","oute"
"http://orkg.org/orkg/predicate/P15268","Market"
"http://orkg.org/orkg/predicate/P15269","emarkable factor"
"http://orkg.org/orkg/predicate/P15270","Inventory policy"
"http://orkg.org/orkg/predicate/P15271","Main question"
"http://orkg.org/orkg/predicate/P15272","Testing profile"
"http://orkg.org/orkg/predicate/P15273","Measurements"
"http://orkg.org/orkg/predicate/P15274","Cooling"
"http://orkg.org/orkg/predicate/P15275","Temperature swing and Tm ax"
"http://orkg.org/orkg/predicate/P15276","Failures and indicators"
"http://orkg.org/orkg/predicate/P15277","Failure mechanism"
"http://orkg.org/orkg/predicate/P15278","Circuit"
"http://orkg.org/orkg/predicate/P15279","Age"
"http://orkg.org/orkg/predicate/P15280","Site"
"http://orkg.org/orkg/predicate/P15281","Size (cm)"
"http://orkg.org/orkg/predicate/P15282","Weight (g)"
"http://orkg.org/orkg/predicate/P15283","Symptoms and signs"
"http://orkg.org/orkg/predicate/P15284","Laboratory fi ndings"
"http://orkg.org/orkg/predicate/P15285","Surgery"
"http://orkg.org/orkg/predicate/P15286","RT/Neoadjuvant or adjuvant CT"
"http://orkg.org/orkg/predicate/P15287","Recurrence"
"http://orkg.org/orkg/predicate/P15288","Treatment of recurrence"
"http://orkg.org/orkg/predicate/P15289","Follow-up"
"http://orkg.org/orkg/predicate/P15290","Number of Objectives"
"http://orkg.org/orkg/predicate/P15291","Algorithm(s)"
"http://orkg.org/orkg/predicate/P15292","Tool"
"http://orkg.org/orkg/predicate/P15293","Quality Indicators"
"http://orkg.org/orkg/predicate/P15295","Has resource"
"http://orkg.org/orkg/predicate/P15296","Has vocabulary"
"http://orkg.org/orkg/predicate/P15298","Tools"
"http://orkg.org/orkg/predicate/P15299","Some of the simulation model characteristics"
"http://orkg.org/orkg/predicate/P15300","Performance measures"
"http://orkg.org/orkg/predicate/P15301","Author’s conclusions"
"http://orkg.org/orkg/predicate/P15302","AMHS configuration"
"http://orkg.org/orkg/predicate/P15303","Strategy"
"http://orkg.org/orkg/predicate/P15304","Objective function(s)"
"http://orkg.org/orkg/predicate/P15305","Application area studied"
"http://orkg.org/orkg/predicate/P15306","Type of question asked"
"http://orkg.org/orkg/predicate/P15307","esearch method & question set"
"http://orkg.org/orkg/predicate/P15308","Subjects"
"http://orkg.org/orkg/predicate/P15309","# convolutional layer"
"http://orkg.org/orkg/predicate/P15310","# fully connected layer, # features"
"http://orkg.org/orkg/predicate/P15311","3D model"
"http://orkg.org/orkg/predicate/P15312","Cascaded method"
"http://orkg.org/orkg/predicate/P15313","Databases"
"http://orkg.org/orkg/predicate/P15314","Video (v)/image (i)"
"http://orkg.org/orkg/predicate/P15315","Gray (g)/color (c)"
"http://orkg.org/orkg/predicate/P15316","Amount of data"
"http://orkg.org/orkg/predicate/P15317","Variations"
"http://orkg.org/orkg/predicate/P15318","Number of landmark points"
"http://orkg.org/orkg/predicate/P15319","# points"
"http://orkg.org/orkg/predicate/P15320","fps"
"http://orkg.org/orkg/predicate/P15321","Detection (d) or tracking (t)"
"http://orkg.org/orkg/predicate/P15322","Realtime (y) or not (n)"
"http://orkg.org/orkg/predicate/P15323","Source code (sc) or binary code (bc)"
"http://orkg.org/orkg/predicate/P15324","Number of points"
"http://orkg.org/orkg/predicate/P15325","Links"
"http://orkg.org/orkg/predicate/P15326","Normalized error"
"http://orkg.org/orkg/predicate/P15327","Coverage"
"http://orkg.org/orkg/predicate/P15328","Country zone"
"http://orkg.org/orkg/predicate/P15329","Types of literature reviews"
"http://orkg.org/orkg/predicate/P15330","Paper"
"http://orkg.org/orkg/predicate/P15331","Journals/ (papers)"
"http://orkg.org/orkg/predicate/P15332","Events/ (papers)"
"http://orkg.org/orkg/predicate/P15333","Other sources/ (papers)"
"http://orkg.org/orkg/predicate/P15334","Foci"
"http://orkg.org/orkg/predicate/P15335","Factor"
"http://orkg.org/orkg/predicate/P15336","Papers"
"http://orkg.org/orkg/predicate/P15337","Publication type Period"
"http://orkg.org/orkg/predicate/P15338","Papers Foci"
"http://orkg.org/orkg/predicate/P15339","Types of literature Publication reviews type"
"http://orkg.org/orkg/predicate/P15340","Context"
"http://orkg.org/orkg/predicate/P15341","Power of income"
"http://orkg.org/orkg/predicate/P15342","Type of data"
"http://orkg.org/orkg/predicate/P15343","Shape of EKC"
"http://orkg.org/orkg/predicate/P15344","EKC Turnaround point(s)"
"http://orkg.org/orkg/predicate/P15345","EKC Turnaround point(s) 2"
"http://orkg.org/orkg/predicate/P15346","Tailoring feedback"
"http://orkg.org/orkg/predicate/P15347","inter- human interaction"
"http://orkg.org/orkg/predicate/P15348","user targeting"
"http://orkg.org/orkg/predicate/P15349","adaptation"
"http://orkg.org/orkg/predicate/P15350","goal setting"
"http://orkg.org/orkg/predicate/P15351","context awareness"
"http://orkg.org/orkg/predicate/P15352","self learning"
"http://orkg.org/orkg/predicate/P15353","Building"
"http://orkg.org/orkg/predicate/P15354","Building Methodology"
"http://orkg.org/orkg/predicate/P15355","Key findings"
"http://orkg.org/orkg/predicate/P15356","Sr. No"
"http://orkg.org/orkg/predicate/P15357","Techniques"
"http://orkg.org/orkg/predicate/P15358","Developer"
"http://orkg.org/orkg/predicate/P15359","Advantage"
"http://orkg.org/orkg/predicate/P15360","Disadvantage"
"http://orkg.org/orkg/predicate/P15361","Authenticity Technique"
"http://orkg.org/orkg/predicate/P15362","Sybil Attacks"
"http://orkg.org/orkg/predicate/P15363","Node Imper’"
"http://orkg.org/orkg/predicate/P15364","Sending False Info’"
"http://orkg.org/orkg/predicate/P15365","ID Disc’"
"http://orkg.org/orkg/predicate/P15366","Confidentiality (Privacy) Technique"
"http://orkg.org/orkg/predicate/P15367","Non-repudiation Technique"
"http://orkg.org/orkg/predicate/P15368","Availability Technique"
"http://orkg.org/orkg/predicate/P15369","Integrity Technique"
"http://orkg.org/orkg/predicate/P15370","Challenges"
"http://orkg.org/orkg/predicate/P15371","#Test"
"http://orkg.org/orkg/predicate/P15372","Accuracy (%) deyeo0:"
"http://orkg.org/orkg/predicate/P15373","deyeo0:"
"http://orkg.org/orkg/predicate/P15374","Time (s)"
"http://orkg.org/orkg/predicate/P15375","n"
"http://orkg.org/orkg/predicate/P15376","Aim of the study"
"http://orkg.org/orkg/predicate/P15377","Study population"
"http://orkg.org/orkg/predicate/P15378","eferred index"
"http://orkg.org/orkg/predicate/P15379","efered index"
"http://orkg.org/orkg/predicate/P15380","Disaster phase Pre-disaster"
"http://orkg.org/orkg/predicate/P15381","Post-disaster"
"http://orkg.org/orkg/predicate/P15382","Application case Earthquake"
"http://orkg.org/orkg/predicate/P15383","Hurricane"
"http://orkg.org/orkg/predicate/P15384","Flood"
"http://orkg.org/orkg/predicate/P15385","Objectives First-stage"
"http://orkg.org/orkg/predicate/P15386","Second-stage"
"http://orkg.org/orkg/predicate/P15387","Decisions First-stage"
"http://orkg.org/orkg/predicate/P15388","Second-stage2"
"http://orkg.org/orkg/predicate/P15389","Uncertainty on the first-stage"
"http://orkg.org/orkg/predicate/P15390","Special features"
"http://orkg.org/orkg/predicate/P15391","Problematic assumptions"
"http://orkg.org/orkg/predicate/P15392","Uncertainty in the first-stage"
"http://orkg.org/orkg/predicate/P15393","Features"
"http://orkg.org/orkg/predicate/P15394","Problematic assumption"
"http://orkg.org/orkg/predicate/P15395","Solution method"
"http://orkg.org/orkg/predicate/P15396","Solution Exact"
